Target Distance:	1000, Step Size: 20
679: (x,y) = (-189.414, -301.698)
680: (x,y) = (-192.887, -321.394)
681: (x,y) = (-176.307, -310.21)
682: (x,y) = (-160.334, -298.174)
683: (x,y) = (-164.15, -317.806)
684: (x,y) = (-178.777, -304.166)
685: (x,y) = (-159.756, -297.986)
686: (x,y) = (-143.996, -285.673)
687: (x,y) = (-130.875, -270.578)
688: (x,y) = (-149.418, -278.071)
689: (x,y) = (-129.567, -275.633)
690: (x,y) = (-149.555, -276.331)
691: (x,y) = (-132.975, -287.515)
692: (x,y) = (-113.953, -281.335)
693: (x,y) = (-131.446, -271.638)
694: (x,y) = (-111.458, -270.94)
695: (x,y) = (-129.868, -263.126)
696: (x,y) = (-138.003, -244.855)
697: (x,y) = (-129.868, -226.584)
698: (x,y) = (-140.169, -209.441)
699: (x,y) = (-149.558, -191.782)
700: (x,y) = (-132.597, -202.38)
701: (x,y) = (-149.178, -191.196)
702: (x,y) = (-137.707, -207.579)
703: (x,y) = (-127.108, -190.618)
704: (x,y) = (-124.325, -170.813)
705: (x,y) = (-143.119, -177.653)
706: (x,y) = (-123.992, -171.806)
707: (x,y) = (-123.294, -151.818)
708: (x,y) = (-105.635, -161.208)
709: (x,y) = (-102.163, -180.904)
710: (x,y) = (-102.163, -160.904)
711: (x,y) = (-82.3116, -158.466)
712: (x,y) = (-73.8592, -176.592)
713: (x,y) = (-92.5308, -169.425)
714: (x,y) = (-75.5699, -158.827)
715: (x,y) = (-90.6641, -171.948)
716: (x,y) = (-78.9084, -188.128)
717: (x,y) = (-92.291, -173.265)
718: (x,y) = (-109.434, -162.965)
719: (x,y) = (-96.0517, -148.102)
720: (x,y) = (-109.434, -133.239)
721: (x,y) = (-99.7381, -115.746)
722: (x,y) = (-116.121, -127.218)
723: (x,y) = (-132.895, -116.325)
724: (x,y) = (-146.016, -101.231)
725: (x,y) = (-149.489, -120.927)
726: (x,y) = (-159.789, -103.784)
727: (x,y) = (-171.261, -120.167)
728: (x,y) = (-162.809, -138.293)
729: (x,y) = (-172.198, -155.952)
730: (x,y) = (-161.014, -172.533)
731: (x,y) = (-162.409, -192.484)
732: (x,y) = (-181.535, -186.637)
733: (x,y) = (-199.028, -196.333)
734: (x,y) = (-203.527, -176.845)
735: (x,y) = (-223.332, -174.062)
736: (x,y) = (-213.031, -191.205)
737: (x,y) = (-196.07, -201.804)
738: (x,y) = (-190.894, -221.122)
739: (x,y) = (-173.933, -231.72)
740: (x,y) = (-192.059, -223.268)
741: (x,y) = (-197.907, -204.142)
742: (x,y) = (-217.907, -204.142)
743: (x,y) = (-227.296, -221.801)
744: (x,y) = (-244.955, -212.412)
745: (x,y) = (-247.739, -192.606)
746: (x,y) = (-235.983, -176.426)
747: (x,y) = (-253.303, -166.426)
748: (x,y) = (-234.893, -158.611)
749: (x,y) = (-220.266, -144.971)
750: (x,y) = (-237.41, -155.272)
751: (x,y) = (-228.957, -173.398)
752: (x,y) = (-211.996, -183.997)
753: (x,y) = (-218.837, -202.79)
754: (x,y) = (-208.238, -219.751)
755: (x,y) = (-225.731, -229.448)
756: (x,y) = (-230.907, -210.129)
757: (x,y) = (-227.434, -190.433)
758: (x,y) = (-207.583, -192.87)
759: (x,y) = (-210.712, -173.117)
760: (x,y) = (-195.169, -160.53)
761: (x,y) = (-199.668, -180.018)
762: (x,y) = (-214.531, -193.4)
763: (x,y) = (-229.394, -180.018)
764: (x,y) = (-215.252, -165.875)
765: (x,y) = (-201.358, -180.262)
766: (x,y) = (-182.133, -185.775)
767: (x,y) = (-187.646, -166.55)
768: (x,y) = (-175.06, -151.007)
769: (x,y) = (-194.378, -156.183)
770: (x,y) = (-210.761, -144.712)
771: (x,y) = (-195.898, -158.094)
772: (x,y) = (-179.515, -146.623)
773: (x,y) = (-174.002, -127.397)
774: (x,y) = (-155.092, -133.909)
775: (x,y) = (-135.202, -135.999)
776: (x,y) = (-154.765, -131.841)
777: (x,y) = (-154.067, -151.829)
778: (x,y) = (-159.579, -171.054)
779: (x,y) = (-165.092, -190.279)
780: (x,y) = (-145.092, -190.279)
781: (x,y) = (-125.092, -190.279)
782: (x,y) = (-133.227, -172.009)
783: (x,y) = (-115.906, -162.009)
784: (x,y) = (-116.604, -142.021)
785: (x,y) = (-99.1119, -132.325)
786: (x,y) = (-119.1, -131.627)
787: (x,y) = (-129.1, -114.306)
788: (x,y) = (-111.28, -123.386)
789: (x,y) = (-126.374, -110.265)
790: (x,y) = (-137.558, -93.6839)
791: (x,y) = (-124.971, -109.227)
792: (x,y) = (-127.409, -89.3759)
793: (x,y) = (-108.998, -97.1905)
794: (x,y) = (-124.541, -109.777)
795: (x,y) = (-119.703, -90.371)
796: (x,y) = (-106.847, -105.692)
797: (x,y) = (-102.348, -86.2045)
798: (x,y) = (-94.2135, -104.475)
799: (x,y) = (-109.534, -117.331)
800: (x,y) = (-90.5132, -123.512)
801: (x,y) = (-75.1923, -136.367)
802: (x,y) = (-79.3506, -116.804)
803: (x,y) = (-65.968, -131.667)
804: (x,y) = (-85.968, -131.667)
805: (x,y) = (-97.1518, -148.248)
806: (x,y) = (-95.0612, -168.138)
807: (x,y) = (-79.7404, -155.283)
808: (x,y) = (-67.9847, -139.102)
809: (x,y) = (-49.313, -146.27)
810: (x,y) = (-43.8003, -127.044)
811: (x,y) = (-38.6239, -146.363)
812: (x,y) = (-58.4293, -149.146)
813: (x,y) = (-55.6458, -129.341)
814: (x,y) = (-54.9478, -149.329)
815: (x,y) = (-35.4604, -144.83)
816: (x,y) = (-22.0778, -159.693)
817: (x,y) = (-16.5651, -178.918)
818: (x,y) = (3.35883, -180.661)
819: (x,y) = (4.05682, -160.673)
820: (x,y) = (8.21505, -141.11)
821: (x,y) = (25.7074, -131.414)
822: (x,y) = (9.3244, -119.943)
823: (x,y) = (15.1718, -100.817)
824: (x,y) = (4.57345, -117.777)
825: (x,y) = (21.7168, -128.078)
826: (x,y) = (32.9007, -144.659)
827: (x,y) = (46.5406, -159.286)
828: (x,y) = (29.0482, -149.59)
829: (x,y) = (48.8536, -146.806)
830: (x,y) = (34.7115, -132.664)
831: (x,y) = (18.7387, -144.701)
832: (x,y) = (6.98304, -128.52)
833: (x,y) = (-8.98967, -116.484)
834: (x,y) = (-1.17505, -134.894)
835: (x,y) = (-10.8712, -117.402)
836: (x,y) = (8.25486, -123.249)
837: (x,y) = (3.07847, -103.931)
838: (x,y) = (4.12519, -123.903)
839: (x,y) = (-15.1, -118.39)
840: (x,y) = (4.46291, -114.232)
841: (x,y) = (20.2231, -126.545)
842: (x,y) = (20.5722, -106.548)
843: (x,y) = (14.0608, -125.459)
844: (x,y) = (2.87695, -108.878)
845: (x,y) = (-13.5061, -97.4065)
846: (x,y) = (-13.157, -117.403)
847: (x,y) = (6.81555, -116.357)
848: (x,y) = (-13.0354, -113.919)
849: (x,y) = (-16.8516, -94.2868)
850: (x,y) = (-15.8048, -114.259)
851: (x,y) = (-30.1916, -128.153)
852: (x,y) = (-11.2813, -134.664)
853: (x,y) = (-10.9322, -154.661)
854: (x,y) = (-15.7706, -174.067)
855: (x,y) = (-20.2697, -154.579)
856: (x,y) = (-1.59806, -147.412)
857: (x,y) = (6.85431, -129.286)
858: (x,y) = (-11.2718, -120.834)
859: (x,y) = (-13.015, -140.757)
860: (x,y) = (-31.6866, -133.59)
861: (x,y) = (-21.9904, -116.098)
862: (x,y) = (-25.1191, -135.851)
863: (x,y) = (-26.1658, -155.824)
864: (x,y) = (-19.3254, -174.618)
865: (x,y) = (-39.298, -173.571)
866: (x,y) = (-59.1033, -176.355)
867: (x,y) = (-78.8571, -173.226)
868: (x,y) = (-85.0374, -192.247)
869: (x,y) = (-84.6884, -172.25)
870: (x,y) = (-88.1614, -152.554)
871: (x,y) = (-101.283, -167.648)
872: (x,y) = (-81.4316, -165.211)
873: (x,y) = (-92.03, -182.172)
874: (x,y) = (-112.027, -181.823)
875: (x,y) = (-98.387, -167.196)
876: (x,y) = (-78.5361, -164.758)
877: (x,y) = (-89.1345, -181.719)
878: (x,y) = (-97.2692, -199.99)
879: (x,y) = (-117.193, -201.733)
880: (x,y) = (-117.542, -181.736)
881: (x,y) = (-103.4, -195.878)
882: (x,y) = (-118.721, -183.023)
883: (x,y) = (-137.265, -190.515)
884: (x,y) = (-133.448, -210.147)
885: (x,y) = (-129.975, -190.451)
886: (x,y) = (-149.948, -189.404)
887: (x,y) = (-161.984, -173.432)
888: (x,y) = (-181.617, -177.248)
889: (x,y) = (-178.833, -157.443)
890: (x,y) = (-193.696, -170.825)
891: (x,y) = (-176.037, -180.215)
892: (x,y) = (-192.218, -168.459)
893: (x,y) = (-172.245, -167.412)
894: (x,y) = (-191.155, -173.924)
895: (x,y) = (-203.469, -189.684)
896: (x,y) = (-185.649, -180.604)
897: (x,y) = (-205.402, -183.733)
898: (x,y) = (-186.731, -176.565)
899: (x,y) = (-179.239, -158.022)
900: (x,y) = (-177.843, -177.973)
901: (x,y) = (-165.807, -162)
902: (x,y) = (-174.887, -144.18)
903: (x,y) = (-194.884, -144.529)
904: (x,y) = (-209.511, -130.889)
905: (x,y) = (-202.671, -112.095)
906: (x,y) = (-204.761, -131.986)
907: (x,y) = (-223.305, -139.478)
908: (x,y) = (-206.724, -150.662)
909: (x,y) = (-222.904, -162.417)
910: (x,y) = (-241.031, -170.87)
911: (x,y) = (-255.173, -156.728)
912: (x,y) = (-269.315, -170.87)
913: (x,y) = (-249.318, -171.219)
914: (x,y) = (-267.589, -179.354)
915: (x,y) = (-265.498, -199.244)
916: (x,y) = (-252.912, -183.701)
917: (x,y) = (-241.44, -200.084)
918: (x,y) = (-261.44, -200.084)
919: (x,y) = (-250.256, -216.665)
920: (x,y) = (-270.062, -213.881)
921: (x,y) = (-287.205, -224.182)
922: (x,y) = (-294.697, -242.726)
923: (x,y) = (-291.914, -222.92)
924: (x,y) = (-308.297, -234.392)
925: (x,y) = (-321.418, -219.298)
926: (x,y) = (-314.251, -200.626)
927: (x,y) = (-311.122, -180.872)
928: (x,y) = (-318.937, -162.462)
929: (x,y) = (-304.794, -176.604)
930: (x,y) = (-289.252, -164.018)
931: (x,y) = (-271.276, -155.251)
932: (x,y) = (-253.3, -146.483)
933: (x,y) = (-233.349, -145.088)
934: (x,y) = (-251.619, -136.953)
935: (x,y) = (-235.039, -125.769)
936: (x,y) = (-241.879, -144.563)
937: (x,y) = (-261.77, -146.654)
938: (x,y) = (-252.69, -164.474)
939: (x,y) = (-242.69, -147.154)
940: (x,y) = (-241.992, -127.166)
941: (x,y) = (-243.735, -107.242)
942: (x,y) = (-223.811, -108.985)
943: (x,y) = (-243.808, -109.334)
944: (x,y) = (-259.781, -97.2977)
945: (x,y) = (-240.375, -102.136)
946: (x,y) = (-220.621, -99.0074)
947: (x,y) = (-223.058, -118.858)
948: (x,y) = (-236.179, -103.764)
949: (x,y) = (-252.563, -92.2926)
950: (x,y) = (-235.789, -81.3999)
951: (x,y) = (-250.883, -68.2787)
952: (x,y) = (-257.395, -87.189)
953: (x,y) = (-268.579, -103.77)
954: (x,y) = (-249.353, -98.257)
955: (x,y) = (-238.755, -81.2961)
956: (x,y) = (-229.365, -63.6371)
957: (x,y) = (-249.171, -66.4206)
958: (x,y) = (-269.061, -64.33)
959: (x,y) = (-288.082, -70.5104)
960: (x,y) = (-268.192, -72.6009)
961: (x,y) = (-258.192, -89.9214)
962: (x,y) = (-278.165, -88.8747)
963: (x,y) = (-298.165, -88.8747)
964: (x,y) = (-309.057, -72.1013)
965: (x,y) = (-323.199, -57.9592)
966: (x,y) = (-316.688, -76.8696)
967: (x,y) = (-327.581, -93.643)
968: (x,y) = (-311.821, -105.956)
969: (x,y) = (-331.808, -105.258)
970: (x,y) = (-340.576, -123.234)
971: (x,y) = (-330.275, -140.377)
972: (x,y) = (-316.382, -125.991)
973: (x,y) = (-306.081, -108.847)
974: (x,y) = (-291.218, -95.4647)
975: (x,y) = (-278.632, -79.9218)
976: (x,y) = (-278.283, -99.9187)
977: (x,y) = (-259.372, -93.4073)
978: (x,y) = (-274.693, -106.263)
979: (x,y) = (-286.165, -122.646)
980: (x,y) = (-300.552, -136.539)
981: (x,y) = (-289.368, -119.959)
982: (x,y) = (-285.895, -100.262)
983: (x,y) = (-268.934, -110.861)
984: (x,y) = (-272.407, -91.1646)
985: (x,y) = (-259.82, -106.708)
986: (x,y) = (-256.348, -87.0114)
987: (x,y) = (-236.457, -84.9208)
988: (x,y) = (-224.421, -68.9481)
989: (x,y) = (-223.026, -48.9968)
990: (x,y) = (-204.232, -55.8372)
991: (x,y) = (-186.256, -64.6047)
992: (x,y) = (-167.846, -72.4193)
993: (x,y) = (-175.66, -90.8294)
994: (x,y) = (-158.168, -81.1332)
995: (x,y) = (-177.922, -78.0045)
996: (x,y) = (-166.166, -61.8242)
997: (x,y) = (-167.213, -41.8516)
998: (x,y) = (-154.9, -26.0914)
999: (x,y) = (-160.412, -45.3166)
1000: (x,y) = (-165.251, -25.9107)
1001: (x,y) = (-148.107, -15.6099)
1002: (x,y) = (-160.963, -0.289021)
1003: (x,y) = (-151.267, 17.2034)
1004: (x,y) = (-170.83, 21.3616)
1005: (x,y) = (-177.341, 40.272)
1006: (x,y) = (-179.084, 20.3481)
1007: (x,y) = (-183.583, 0.860683)
1008: (x,y) = (-171.828, 17.041)
1009: (x,y) = (-190.371, 9.54889)
1010: (x,y) = (-193.5, 29.3027)
1011: (x,y) = (-212.988, 33.8017)
1012: (x,y) = (-195.495, 24.1055)
1013: (x,y) = (-184.897, 7.14452)
1014: (x,y) = (-202.873, 15.9119)
1015: (x,y) = (-222.797, 17.6551)
1016: (x,y) = (-230.289, -0.888614)
1017: (x,y) = (-246.672, -12.3601)
1018: (x,y) = (-240.824, -31.4862)
1019: (x,y) = (-244.297, -51.1824)
1020: (x,y) = (-255.481, -34.6016)
1021: (x,y) = (-256.876, -54.5529)
1022: (x,y) = (-269.732, -69.8738)
1023: (x,y) = (-253.759, -81.9101)
1024: (x,y) = (-259.94, -62.889)
1025: (x,y) = (-266.12, -81.9101)
1026: (x,y) = (-250.36, -94.2233)
1027: (x,y) = (-241.907, -112.349)
1028: (x,y) = (-223.236, -119.517)
1029: (x,y) = (-207.476, -107.204)
1030: (x,y) = (-197.175, -124.347)
1031: (x,y) = (-177.612, -128.505)
1032: (x,y) = (-197.612, -128.505)
1033: (x,y) = (-184.229, -113.642)
1034: (x,y) = (-164.597, -109.826)
1035: (x,y) = (-184.594, -109.477)
1036: (x,y) = (-164.67, -107.734)
1037: (x,y) = (-150.283, -93.8408)
1038: (x,y) = (-146.81, -74.1446)
1039: (x,y) = (-138.675, -92.4156)
1040: (x,y) = (-157.347, -85.2482)
1041: (x,y) = (-162.523, -104.567)
1042: (x,y) = (-144.113, -96.7521)
1043: (x,y) = (-141.676, -116.603)
1044: (x,y) = (-125.293, -105.131)
1045: (x,y) = (-136.477, -121.712)
1046: (x,y) = (-121.849, -135.352)
1047: (x,y) = (-140.521, -128.185)
1048: (x,y) = (-142.958, -148.036)
1049: (x,y) = (-140.175, -128.23)
1050: (x,y) = (-158.585, -120.416)
1051: (x,y) = (-138.634, -119.021)
1052: (x,y) = (-158.266, -115.204)
1053: (x,y) = (-163.779, -134.43)
1054: (x,y) = (-161.689, -114.539)
1055: (x,y) = (-153.874, -96.1292)
1056: (x,y) = (-169.195, -108.985)
1057: (x,y) = (-151.536, -99.5955)
1058: (x,y) = (-131.536, -99.5955)
1059: (x,y) = (-111.536, -99.5955)
1060: (x,y) = (-91.5389, -99.2464)
1061: (x,y) = (-77.6457, -113.633)
1062: (x,y) = (-69.8311, -132.043)
1063: (x,y) = (-77.6457, -113.633)
1064: (x,y) = (-97.1331, -109.134)
1065: (x,y) = (-116.984, -106.697)
1066: (x,y) = (-98.7131, -114.832)
1067: (x,y) = (-83.3923, -127.687)
1068: (x,y) = (-99.1525, -115.374)
1069: (x,y) = (-115.125, -127.41)
1070: (x,y) = (-134.688, -131.569)
1071: (x,y) = (-147.809, -116.474)
1072: (x,y) = (-141.629, -135.496)
1073: (x,y) = (-148.14, -154.406)
1074: (x,y) = (-131.367, -143.513)
1075: (x,y) = (-112.695, -150.681)
1076: (x,y) = (-99.0553, -165.308)
1077: (x,y) = (-101.493, -145.457)
1078: (x,y) = (-109.627, -127.186)
1079: (x,y) = (-117.762, -108.915)
1080: (x,y) = (-137.25, -113.414)
1081: (x,y) = (-118.456, -106.573)
1082: (x,y) = (-99.0498, -111.412)
1083: (x,y) = (-98.3518, -91.4241)
1084: (x,y) = (-79.0333, -86.2477)
1085: (x,y) = (-85.2137, -67.2266)
1086: (x,y) = (-65.4599, -70.3553)
1087: (x,y) = (-62.3312, -90.109)
1088: (x,y) = (-67.1697, -109.515)
1089: (x,y) = (-47.6823, -105.016)
1090: (x,y) = (-64.0653, -116.487)
1091: (x,y) = (-62.6702, -96.5362)
1092: (x,y) = (-80.3291, -87.1467)
1093: (x,y) = (-61.7854, -94.6389)
1094: (x,y) = (-79.1059, -104.639)
1095: (x,y) = (-60.4343, -111.806)
1096: (x,y) = (-79.9217, -116.305)
1097: (x,y) = (-61.7956, -124.758)
1098: (x,y) = (-73.8319, -108.785)
1099: (x,y) = (-56.3395, -99.0887)
1100: (x,y) = (-37.3184, -92.9084)
1101: (x,y) = (-19.4982, -83.8286)
1102: (x,y) = (-18.4515, -63.856)
1103: (x,y) = (-32.8383, -49.9628)
1104: (x,y) = (-31.7916, -69.9354)
1105: (x,y) = (-37.639, -89.0615)
1106: (x,y) = (-52.2661, -102.701)
1107: (x,y) = (-32.5699, -99.2285)
1108: (x,y) = (-33.2679, -119.216)
1109: (x,y) = (-22.9672, -136.36)
1110: (x,y) = (-3.94604, -130.179)
1111: (x,y) = (6.65235, -147.14)
1112: (x,y) = (-10.3086, -157.739)
1113: (x,y) = (-26.2813, -145.702)
1114: (x,y) = (-19.4409, -126.909)
1115: (x,y) = (-37.2611, -135.988)
1116: (x,y) = (-54.222, -125.39)
1117: (x,y) = (-46.7299, -106.846)
1118: (x,y) = (-49.8586, -126.6)
1119: (x,y) = (-36.7374, -141.694)
1120: (x,y) = (-27.6576, -159.514)
1121: (x,y) = (-34.498, -178.308)
1122: (x,y) = (-16.3718, -186.761)
1123: (x,y) = (-35.1657, -179.92)
1124: (x,y) = (-24.5673, -162.959)
1125: (x,y) = (-20.0683, -143.472)
1126: (x,y) = (-29.4577, -125.813)
1127: (x,y) = (-21.6431, -107.403)
1128: (x,y) = (-34.2295, -91.8598)
1129: (x,y) = (-38.0457, -72.2273)
1130: (x,y) = (-42.2039, -91.7902)
1131: (x,y) = (-60.024, -100.87)
1132: (x,y) = (-62.8075, -81.0647)
1133: (x,y) = (-81.8286, -74.8843)
1134: (x,y) = (-101.719, -72.7938)
1135: (x,y) = (-92.0229, -55.3014)
1136: (x,y) = (-84.2082, -36.8913)
1137: (x,y) = (-69.5812, -50.5313)
1138: (x,y) = (-52.0888, -60.2274)
1139: (x,y) = (-40.3331, -76.4078)
1140: (x,y) = (-24.3604, -64.3715)
1141: (x,y) = (-5.04185, -69.5479)
1142: (x,y) = (14.5907, -65.7317)
1143: (x,y) = (34.542, -64.3366)
1144: (x,y) = (33.4953, -84.3091)
1145: (x,y) = (13.7991, -80.8362)
1146: (x,y) = (24.6919, -64.0628)
1147: (x,y) = (35.8757, -80.6435)
1148: (x,y) = (47.0596, -97.2243)
1149: (x,y) = (28.6495, -89.4097)
1150: (x,y) = (47.7756, -95.2571)
1151: (x,y) = (54.943, -113.929)
1152: (x,y) = (36.3993, -106.437)
1153: (x,y) = (39.8722, -86.7404)
1154: (x,y) = (23.6919, -74.9847)
1155: (x,y) = (16.5245, -56.3131)
1156: (x,y) = (36.4758, -54.918)
1157: (x,y) = (56.4484, -53.8712)
1158: (x,y) = (54.011, -73.7222)
1159: (x,y) = (39.8689, -87.8643)
1160: (x,y) = (56.8299, -98.4627)
1161: (x,y) = (57.8766, -78.4901)
1162: (x,y) = (40.0564, -87.5699)
1163: (x,y) = (21.3848, -94.7373)
1164: (x,y) = (25.8839, -75.2499)
1165: (x,y) = (45.2898, -70.4114)
1166: (x,y) = (65.2624, -71.4581)
1167: (x,y) = (65.2624, -51.4581)
1168: (x,y) = (58.422, -32.6643)
1169: (x,y) = (49.6545, -14.6884)
1170: (x,y) = (30.5284, -8.84098)
1171: (x,y) = (46.2887, -21.1542)
1172: (x,y) = (53.7808, -2.61053)
1173: (x,y) = (47.6004, -21.6317)
1174: (x,y) = (47.9495, -41.6286)
1175: (x,y) = (67.9008, -40.2335)
1176: (x,y) = (82.2876, -26.3403)
1177: (x,y) = (63.2664, -32.5207)
1178: (x,y) = (77.4086, -46.6628)
1179: (x,y) = (62.0877, -59.5185)
1180: (x,y) = (50.6162, -43.1355)
1181: (x,y) = (38.0298, -58.6784)
1182: (x,y) = (29.5774, -76.8046)
1183: (x,y) = (26.7939, -56.9992)
1184: (x,y) = (6.84264, -55.6041)
1185: (x,y) = (-0.324715, -74.2757)
1186: (x,y) = (-18.3006, -65.5083)
1187: (x,y) = (-8.3006, -48.1878)
1188: (x,y) = (-20.3369, -64.1605)
1189: (x,y) = (-10.6407, -46.6681)
1190: (x,y) = (4.90222, -34.0817)
1191: (x,y) = (22.3946, -24.3855)
1192: (x,y) = (4.26845, -32.8379)
1193: (x,y) = (-14.7527, -39.0182)
1194: (x,y) = (-34.704, -40.4133)
1195: (x,y) = (-14.8135, -42.5039)
1196: (x,y) = (-4.81352, -59.8244)
1197: (x,y) = (-17.1267, -75.5846)
1198: (x,y) = (-5.09045, -59.6119)
1199: (x,y) = (-18.9836, -45.2251)
1200: (x,y) = (-31.0199, -61.1978)
1201: (x,y) = (-17.8987, -46.1036)
1202: (x,y) = (-22.3978, -65.591)
1203: (x,y) = (-37.7186, -52.7353)
1204: (x,y) = (-19.4477, -44.6005)
1205: (x,y) = (-32.3035, -59.9214)
1206: (x,y) = (-41.0709, -41.9455)
1207: (x,y) = (-39.3278, -22.0217)
1208: (x,y) = (-43.8268, -2.53425)
1209: (x,y) = (-34.747, -20.3544)
1210: (x,y) = (-54.5524, -23.1378)
1211: (x,y) = (-44.2516, -5.9945)
1212: (x,y) = (-30.869, -20.8574)
1213: (x,y) = (-24.0286, -39.6513)
1214: (x,y) = (-43.5915, -43.8095)
1215: (x,y) = (-27.8313, -31.4963)
1216: (x,y) = (-18.4419, -13.8373)
1217: (x,y) = (-8.4419, 3.48321)
1218: (x,y) = (-25.2153, -7.40958)
1219: (x,y) = (-9.03497, 4.34613)
1220: (x,y) = (-28.0561, -1.83421)
1221: (x,y) = (-10.7356, -11.8342)
1222: (x,y) = (-24.1182, 3.02869)
1223: (x,y) = (-42.0941, -5.73874)
1224: (x,y) = (-22.3403, -2.61005)
1225: (x,y) = (-8.70035, -17.2371)
1226: (x,y) = (-9.39834, 2.7507)
1227: (x,y) = (-29.0309, 6.56688)
1228: (x,y) = (-9.03393, 6.21783)
1229: (x,y) = (-27.9443, -0.293536)
1230: (x,y) = (-15.6311, -16.0538)
1231: (x,y) = (-34.6522, -9.87341)
1232: (x,y) = (-20.5101, 4.26872)
1233: (x,y) = (-33.8927, 19.1316)
1234: (x,y) = (-37.3656, 38.8278)
1235: (x,y) = (-44.206, 57.6216)
1236: (x,y) = (-58.3482, 43.4795)
1237: (x,y) = (-60.4388, 23.5891)
1238: (x,y) = (-80.2441, 26.3725)
1239: (x,y) = (-92.8305, 41.9154)
1240: (x,y) = (-77.0703, 54.2287)
1241: (x,y) = (-95.4804, 62.0433)
1242: (x,y) = (-106.664, 78.624)
1243: (x,y) = (-126.661, 78.275)
1244: (x,y) = (-112.274, 92.1682)
1245: (x,y) = (-131.762, 96.6672)
1246: (x,y) = (-128.978, 76.8618)
1247: (x,y) = (-138.058, 94.6819)
1248: (x,y) = (-119.932, 103.134)
1249: (x,y) = (-127.099, 84.4627)
1250: (x,y) = (-145.771, 77.2953)
1251: (x,y) = (-127.227, 69.8032)
1252: (x,y) = (-108.684, 77.2953)
1253: (x,y) = (-90.7077, 86.0628)
1254: (x,y) = (-71.4825, 91.5755)
1255: (x,y) = (-80.8719, 109.234)
1256: (x,y) = (-86.7194, 128.361)
1257: (x,y) = (-73.3368, 113.498)
1258: (x,y) = (-91.7469, 105.683)
1259: (x,y) = (-107.72, 117.719)
1260: (x,y) = (-116.799, 135.539)
1261: (x,y) = (-136.65, 133.102)
1262: (x,y) = (-150.29, 118.475)
1263: (x,y) = (-158.425, 100.204)
1264: (x,y) = (-138.574, 97.7667)
1265: (x,y) = (-118.65, 99.5098)
1266: (x,y) = (-106.614, 83.5371)
1267: (x,y) = (-109.051, 103.388)
1268: (x,y) = (-118.747, 85.8957)
1269: (x,y) = (-138.235, 81.3966)
1270: (x,y) = (-158.223, 80.6986)
1271: (x,y) = (-151.382, 99.4925)
1272: (x,y) = (-154.166, 79.6871)
1273: (x,y) = (-173.572, 74.8487)
1274: (x,y) = (-182.339, 56.8728)
1275: (x,y) = (-192.64, 74.0162)
1276: (x,y) = (-198.153, 54.7909)
1277: (x,y) = (-216.279, 46.3386)
1278: (x,y) = (-210.431, 65.4647)
1279: (x,y) = (-206.958, 85.1608)
1280: (x,y) = (-191.864, 98.282)
1281: (x,y) = (-194.302, 118.133)
1282: (x,y) = (-174.983, 123.309)
1283: (x,y) = (-167.816, 141.981)
1284: (x,y) = (-177.512, 159.473)
1285: (x,y) = (-172.335, 140.155)
1286: (x,y) = (-166.823, 159.38)
1287: (x,y) = (-159.655, 140.708)
1288: (x,y) = (-157.565, 120.818)
1289: (x,y) = (-147.565, 138.138)
1290: (x,y) = (-158.749, 154.719)
1291: (x,y) = (-151.257, 136.176)
1292: (x,y) = (-163.012, 152.356)
1293: (x,y) = (-166.141, 132.602)
1294: (x,y) = (-179.781, 117.975)
1295: (x,y) = (-198.802, 124.155)
1296: (x,y) = (-190.667, 105.884)
1297: (x,y) = (-171.996, 113.052)
1298: (x,y) = (-171.298, 133.04)
1299: (x,y) = (-179.75, 114.914)
1300: (x,y) = (-180.099, 94.9165)
1301: (x,y) = (-161.689, 87.1019)
1302: (x,y) = (-167.202, 106.327)
1303: (x,y) = (-162.025, 87.0086)
1304: (x,y) = (-160.63, 67.0574)
1305: (x,y) = (-159.235, 87.0086)
1306: (x,y) = (-139.829, 82.1702)
1307: (x,y) = (-123.056, 93.063)
1308: (x,y) = (-104.93, 101.515)
1309: (x,y) = (-121.891, 90.917)
1310: (x,y) = (-123.634, 110.841)
1311: (x,y) = (-130.801, 129.512)
1312: (x,y) = (-150.555, 126.384)
1313: (x,y) = (-136.413, 112.242)
1314: (x,y) = (-123.826, 96.6987)
1315: (x,y) = (-109.439, 110.592)
1316: (x,y) = (-124.067, 124.232)
1317: (x,y) = (-119.228, 104.826)
1318: (x,y) = (-137.772, 97.3338)
1319: (x,y) = (-143.285, 78.1086)
1320: (x,y) = (-130.971, 93.8688)
1321: (x,y) = (-141.864, 110.642)
1322: (x,y) = (-159.357, 100.946)
1323: (x,y) = (-178.919, 96.7878)
1324: (x,y) = (-197.046, 105.24)
1325: (x,y) = (-184.732, 89.4799)
1326: (x,y) = (-204.051, 84.3035)
1327: (x,y) = (-215.807, 100.484)
1328: (x,y) = (-234.078, 92.3492)
1329: (x,y) = (-254.078, 92.3492)
1330: (x,y) = (-262.212, 110.62)
1331: (x,y) = (-273.968, 94.4397)
1332: (x,y) = (-283.968, 111.76)
1333: (x,y) = (-298.355, 125.653)
1334: (x,y) = (-310.391, 141.626)
1335: (x,y) = (-330.281, 143.717)
1336: (x,y) = (-311.871, 151.531)
1337: (x,y) = (-327.192, 138.676)
1338: (x,y) = (-329.63, 118.825)
1339: (x,y) = (-310.142, 114.326)
